t,p,F
50,0.000000,0.000000
51,0.000000,0.000000
52,0.000000,0.000000
53,0.000000,0.000000
54,0.000000,0.000000
55,0.000000,0.000000
56,0.000000,0.000000
57,0.000000,0.000000
58,0.000000,0.000000
59,0.000000,0.000000
60,0.000000,0.000000
61,0.000001,0.000001
62,0.000001,0.000002
63,0.000003,0.000005
64,0.000006,0.000011
65,0.000012,0.000023
66,0.000024,0.000047
67,0.000044,0.000091
68,0.000079,0.000169
69,0.000135,0.000304
70,0.000223,0.000527
71,0.000356,0.000883
72,0.000552,0.001435
73,0.000830,0.002265
74,0.001215,0.003480
75,0.001732,0.005211
76,0.002407,0.007618
77,0.003267,0.010886
78,0.004337,0.015223
79,0.005635,0.020858
80,0.007174,0.028032
81,0.008959,0.036991
82,0.010982,0.047973
83,0.013226,0.061199
84,0.015662,0.076861
85,0.018248,0.095109
86,0.020934,0.116043
87,0.023660,0.139703
88,0.026362,0.166066
89,0.028972,0.195037
90,0.031422,0.226459
91,0.033648,0.260107
92,0.035594,0.295701
93,0.037210,0.332912
94,0.038460,0.371371
95,0.039317,0.410688
96,0.039769,0.450457
97,0.039816,0.490274
98,0.039471,0.529745
99,0.038755,0.568500
100,0.037702,0.606202
101,0.036349,0.642551
102,0.034741,0.677292
103,0.032926,0.710219
104,0.030953,0.741171
105,0.028868,0.770039
106,0.026717,0.796756
107,0.024543,0.821298
108,0.022383,0.843681
109,0.020270,0.863951
110,0.018232,0.882183
111,0.016289,0.898472
112,0.014461,0.912933
113,0.012757,0.925690
114,0.011185,0.936874
115,0.009749,0.946623
116,0.008448,0.955071
117,0.007279,0.962350
118,0.006238,0.968588
119,0.005317,0.973905
120,0.004509,0.978414
121,0.003804,0.982217



