t,p,F
100,0.8444082685e-42,0.8444082685e-42
101,0.4184085191e-40,0.4268526018e-40
102,0.1050494725e-38,0.1093179986e-38
103,0.1781616349e-37,0.1890934348e-37
104,0.2295926475e-36,0.248501991e-36
105,0.239772304e-35,0.2646225031e-35
106,0.2113548244e-34,0.2378170747e-34
107,0.1617256741e-33,0.1855073816e-33
108,0.1096484097e-32,0.1281991479e-32
109,0.6690686859e-32,0.7972678338e-32
110,0.3719880914e-31,0.4517148747e-31
111,0.1903237435e-30,0.2354952309e-30
112,0.9034795672e-30,0.1138974798e-29
113,0.4006675185e-29,0.5145649984e-29
114,0.1669633607e-28,0.2184198605e-28
115,0.657060115e-28,0.8754799756e-28
116,0.2452592463e-27,0.3328072438e-27
117,0.8716407976e-27,0.1204448041e-26
118,0.2959398307e-26,0.4163846349e-26
119,0.9627703316e-26,0.1379154966e-25
120,0.3009248123e-25,0.438840309e-25
121,0.905847356e-25,0.1344687665e-24
122,0.2631836823e-24,0.3976524488e-24
123,0.7394826343e-24,0.1137135083e-23
124,0.2013002945e-23,0.3150138028e-23
125,0.531770319e-23,0.8467841218e-23
126,0.1365287996e-22,0.2212072117e-22
127,0.3411538525e-22,0.5623610642e-22
128,0.8307326151e-22,0.1393093679e-21
129,0.1973672458e-21,0.3366766137e-21
130,0.4580074757e-21,0.7946840894e-21
131,0.1039204935e-20,0.1833889025e-20
132,0.2307694584e-20,0.4141583608e-20
133,0.5019887606e-20,0.9161471214e-20
134,0.107056587e-19,0.1986712992e-19
135,0.2240160311e-19,0.4226873303e-19
136,0.4602703305e-19,0.8829576608e-19
137,0.92921872e-19,0.1812176381e-18
138,0.1844503569e-18,0.365667995e-18
139,0.3602193903e-18,0.7258873852e-18
140,0.6925248756e-18,0.1418412261e-17
141,0.1311370374e-17,0.2729782635e-17
142,0.2447177047e-17,0.5176959682e-17
143,0.450268985e-17,0.9679649531e-17
144,0.8172425459e-17,0.1785207499e-16
145,0.1463853806e-16,0.3249061305e-16
146,0.258879873e-16,0.5837860034e-16
147,0.4521993203e-16,0.1035985324e-15
148,0.7804794776e-16,0.1816464801e-15
149,0.1331540009e-15,0.314800481e-15
150,0.224627038e-15,0.5394275191e-15
151,0.3748280079e-15,0.914255527e-15
152,0.6188778635e-15,0.153313339e-14
153,0.1011382571e-14,0.2544515962e-14
154,0.1636411812e-14,0.4180927774e-14
155,0.2622165163e-14,0.6803092937e-14
156,0.4162328989e-14,0.1096542193e-13
157,0.6546897551e-14,0.1751231948e-13
158,0.1020626442e-13,0.2771858389e-13
159,0.1577376246e-13,0.4349234635e-13
160,0.2417363863e-13,0.6766598498e-13
161,0.3674381181e-13,0.1044097968e-12
162,0.5540582315e-13,0.1598156199e-12
163,0.8289832377e-13,0.2427139437e-12
164,0.1230954645e-12,0.3658094083e-12
165,0.1814379071e-12,0.5472473153e-12
166,0.2655121586e-12,0.812759474e-12
167,0.3858238906e-12,0.1198583365e-11
168,0.5568232283e-12,0.1755406593e-11
169,0.7982551575e-12,0.255366175e-11
170,0.1136926698e-11,0.3690588448e-11
171,0.1609004934e-11,0.5299593382e-11
172,0.2262987016e-11,0.7562580398e-11
173,0.316351559e-11,0.1072609599e-10
174,0.4396251533e-11,0.1512234752e-10
175,0.6074061275e-11,0.211964088e-10
176,0.834482926e-11,0.2954123806e-10
177,0.1140126817e-10,0.4094250623e-10
178,0.1549317158e-10,0.5643567781e-10
179,0.2094263649e-10,0.7737831429e-10
180,0.2816287816e-10,0.1055411925e-9
181,0.3768136754e-10,0.14322256e-9
182,0.5016814353e-10,0.1933907035e-9
183,0.6647028943e-10,0.259860993e-9
184,0.8765371634e-10,0.3475147093e-9
185,0.1150535656e-9,0.4625682749e-9
186,0.1503347306e-9,0.6129030054e-9
187,0.1955642034e-9,0.8084672089e-9
188,0.2532971762e-9,0.1061764385e-8
189,0.3266790686e-9,0.1388443454e-8
190,0.419565915e-9,0.1808009369e-8
191,0.5366658228e-9,0.2344675191e-8
192,0.6837045089e-9,0.30283797e-8
193,0.8676182322e-9,0.3895997933e-8
194,0.1096777769e-8,0.4992775701e-8
195,0.1381247408e-8,0.637402311e-8
196,0.1733083305e-8,0.8107106415e-8
197,0.2166675868e-8,0.1027378228e-7
198,0.2699141224e-8,0.1297292351e-7
199,0.3350767173e-8,0.1632369068e-7
200,0.4145519367e-8,0.2046921005e-7
201,0.5111613828e-8,0.2558082388e-7
202,0.6282162224e-8,0.318629861e-7
203,0.7695896646e-8,0.3955888274e-7
204,0.9397980908e-8,0.4895686365e-7
205,0.1144091565e-7,0.6039777931e-7
206,0.1388554475e-7,0.7428332406e-7
207,0.1680217067e-7,0.9108549472e-7
208,0.2027178659e-7,0.1113572813e-6
209,0.2438743315e-7,0.1357447145e-6
210,0.2925568769e-7,0.1650004022e-6
211,0.3499829368e-7,0.1999986958e-6
212,0.4175393822e-7,0.2417526341e-6
213,0.4968018481e-7,0.2914328189e-6
214,0.589555687e-7,0.3503883876e-6
215,0.6978186147e-7,0.420170249e-6
216,0.8238651118e-7,0.5025567602e-6
217,0.9702526376e-7,0.599582024e-6
218,0.1139849706e-6,0.7135669946e-6
219,0.1335865868e-6,0.8471535814e-6
220,0.1561883629e-6,0.1003341944e-5
221,0.1821892337e-6,0.1185531178e-5
222,0.2120324036e-6,0.1397563582e-5
223,0.2462091311e-6,0.1643772713e-5
224,0.2852627091e-6,0.1929035422e-5
225,0.3297926402e-6,0.2258828062e-5
226,0.3804590027e-6,0.2639287065e-5
227,0.4379870023e-6,0.3077274067e-5
228,0.5031717021e-6,0.3580445769e-5
229,0.5768829237e-6,0.4157328693e-5
230,0.6600703087e-6,0.4817399001e-5
231,0.7537685294e-6,0.5571167531e-5
232,0.859102635e-6,0.6430270166e-5
233,0.9772935193e-6,0.7407563685e-5
234,0.1109663493e-5,0.8517227178e-5
235,0.125764194e-5,0.9774869117e-5
236,0.1422771045e-5,0.1119764016e-4
237,0.1606711563e-5,0.1280435172e-4
238,0.1811248608e-5,0.1461560033e-4
239,0.2038297451e-5,0.1665389778e-4
240,0.2289909276e-5,0.1894380706e-4
241,0.2568276895e-5,0.2151208395e-4
242,0.2875740371e-5,0.2438782433e-4
243,0.3214792539e-5,0.2760261686e-4
244,0.3588084383e-5,0.3119070125e-4
245,0.3998430235e-5,0.3518913148e-4
246,0.4448812789e-5,0.3963794427e-4
247,0.4942387864e-5,0.4458033214e-4
248,0.5482488917e-5,0.5006282105e-4
249,0.6072631248e-5,0.561354523e-4
250,0.6716515889e-5,0.6285196819e-4
251,0.7418033127e-5,0.7027000132e-4
252,0.8181265642e-5,0.7845126696e-4
253,0.901049122e-5,0.8746175818e-4
254,0.991018503e-5,0.9737194321e-4
255,0.1088502141e-4,0.1082569646e-3
256,0.1193987518e-4,0.1201968398e-3
257,0.1307982237e-4,0.1332766622e-3
258,0.1431014048e-4,0.1475868027e-3
259,0.1563630808e-4,0.1632231107e-3
260,0.170640039e-4,0.1802871146e-3
261,0.1859910522e-4,0.1988862199e-3
262,0.2024768572e-4,0.2191339056e-3
263,0.2201601266e-4,0.2411499182e-3
264,0.2391054337e-4,0.2650604616e-3
265,0.2593792111e-4,0.2909983827e-3
266,0.2810497029e-4,0.319103353e-3
267,0.3041869101e-4,0.349522044e-3
268,0.3288625285e-4,0.3824082969e-3
269,0.3551498815e-4,0.417923285e-3
270,0.3831238445e-4,0.4562356695e-3
271,0.4128607642e-4,0.4975217459e-3
272,0.4444383705e-4,0.5419655829e-3
273,0.4779356824e-4,0.5897591512e-3
274,0.5134329079e-4,0.641102442e-3
275,0.5510113377e-4,0.6962035757e-3
276,0.5907532329e-4,0.755278899e-3
277,0.6327417074e-4,0.8185530698e-3
278,0.6770606051e-4,0.8862591303e-3
279,0.7237943719e-4,0.9586385675e-3
280,0.7730279226e-4,0.103594136e-2
281,0.8248465041e-4,0.111842601e-2
282,0.8793355539e-4,0.1206359566e-2
283,0.9365805554e-4,0.1300017621e-2
284,0.9966668889e-4,0.139968431e-2
285,0.1059679681e-3,0.1505652278e-2
286,0.112570365e-3,0.1618222643e-2
287,0.119482295e-3,0.1737704938e-2
288,0.1267121013e-3,0.1864417039e-2
289,0.1342680389e-3,0.1998685078e-2
290,0.1421582587e-3,0.2140843337e-2
291,0.1503907914e-3,0.2291234128e-2
292,0.1589735312e-3,0.2450207659e-2
293,0.16791422e-3,0.2618121879e-2
294,0.1772204316e-3,0.2795342311e-2
295,0.1868995554e-3,0.2982241866e-2
296,0.1969587809e-3,0.3179200647e-2
297,0.2074050824e-3,0.338660573e-2
298,0.2182452039e-3,0.3604850934e-2
299,0.2294856436e-3,0.3834336577e-2
300,0.2411326397e-3,0.4075469217e-2
301,0.2531921565e-3,0.4328661373e-2
302,0.2656698697e-3,0.4594331243e-2
303,0.2785711538e-3,0.4872902397e-2
304,0.2919010689e-3,0.5164803466e-2
305,0.3056643481e-3,0.5470467814e-2
306,0.3198653858e-3,0.57903332e-2
307,0.3345082266e-3,0.6124841426e-2
308,0.3495965542e-3,0.6474437981e-2
309,0.3651336813e-3,0.6839571662e-2
310,0.3811225405e-3,0.7220694202e-2
311,0.397565675e-3,0.7618259877e-2
312,0.4144652311e-3,0.8032725108e-2
313,0.4318229499e-3,0.8464548058e-2
314,0.4496401612e-3,0.891418822e-2
315,0.4679177775e-3,0.9382105997e-2
316,0.4866562881e-3,0.9868762285e-2
317,0.5058557553e-3,0.1037461804e-1
318,0.5255158101e-3,0.1090013385e-1
319,0.5456356494e-3,0.114457695e-1
320,0.5662140334e-3,0.1201198353e-1
321,0.5872492845e-3,0.1259923282e-1
322,0.6087392859e-3,0.132079721e-1
323,0.6306814821e-3,0.1383865359e-1
324,0.6530728792e-3,0.1449172646e-1
325,0.6759100464e-3,0.1516763651e-1
326,0.6991891182e-3,0.1586682563e-1
327,0.7229057972e-3,0.1658973143e-1
328,0.7470553574e-3,0.1733678678e-1
329,0.7716326489e-3,0.1810841943e-1
330,0.7966321021e-3,0.1890505154e-1
331,0.8220477337e-3,0.1972709927e-1
332,0.847873153e-3,0.2057497242e-1
333,0.874101568e-3,0.2144907399e-1
334,0.9007257933e-3,0.2234979978e-1
335,0.927738258e-3,0.2327753804e-1
336,0.9551310138e-3,0.2423266905e-1
337,0.9828957442e-3,0.252155648e-1
338,0.1011023774e-2,0.2622658857e-1
339,0.103950608e-2,0.2726609465e-1
340,0.1068333299e-2,0.2833442795e-1
341,0.1097495742e-2,0.2943192369e-1
342,0.1126983402e-2,0.305589071e-1
343,0.1156785969e-2,0.3171569307e-1
344,0.118689284e-2,0.329025859e-1
345,0.1217293129e-2,0.3411987903e-1
346,0.1247975685e-2,0.3536785472e-1
347,0.1278929101e-2,0.3664678382e-1
348,0.1310141726e-2,0.3795692554e-1
349,0.1341601682e-2,0.3929852723e-1
350,0.1373296875e-2,0.406718241e-1
351,0.1405215009e-2,0.4207703911e-1
