t,p,F
100,0.5525405856e-44,0.5525405856e-44
101,0.2874592396e-42,0.2929846455e-42
102,0.7573084556e-41,0.7866069202e-41
103,0.1346914899e-39,0.1425575591e-39
104,0.1819195836e-38,0.1961753395e-38
105,0.199007281e-37,0.218624815e-37
106,0.1836487283e-36,0.2055112098e-36
107,0.1470354795e-35,0.1675866004e-35
108,0.1042506279e-34,0.121009288e-34
109,0.6648903457e-34,0.7858996337e-34
110,0.3861758419e-33,0.4647658053e-33
111,0.2063019796e-32,0.2527785601e-32
112,0.1022032002e-31,0.1274810562e-31
113,0.4727712708e-31,0.600252327e-31
114,0.2053986231e-30,0.2654238559e-30
115,0.8423313949e-30,0.1107755251e-29
116,0.3274917323e-29,0.4382672573e-29
117,0.1211737196e-28,0.1650004453e-28
118,0.4281267613e-28,0.5931272066e-28
119,0.1448755255e-27,0.2041882462e-27
120,0.4708061308e-27,0.6749943769e-27
121,0.1472863059e-26,0.2147857436e-26
122,0.4445329587e-26,0.6593187023e-26
123,0.129696414e-25,0.1956282842e-25
124,0.3664540635e-25,0.5620823478e-25
125,0.1004378262e-24,0.156646061e-24
126,0.2674368293e-24,0.4240828903e-24
127,0.6927862539e-24,0.1116869144e-23
128,0.1748208344e-23,0.2865077488e-23
129,0.4302524999e-23,0.7167602487e-23
130,0.1033887349e-22,0.1750647598e-22
131,0.2428245332e-22,0.417889293e-22
132,0.5579575526e-22,0.9758468456e-22
133,0.1255426777e-21,0.2231273623e-21
134,0.2768412081e-21,0.4999685704e-21
135,0.5987754877e-21,0.1098744058e-20
136,0.1271204108e-20,0.2369948166e-20
137,0.2650877265e-20,0.5020825431e-20
138,0.5433436687e-20,0.1045426212e-19
139,0.1095321929e-19,0.214074814e-19
140,0.2172940459e-19,0.4313688599e-19
141,0.424458976e-19,0.855827836e-19
142,0.8168376534e-19,0.1672665489e-18
143,0.1549410173e-18,0.3222075662e-18
144,0.2898245879e-18,0.6120321541e-18
145,0.5348593203e-18,0.1146891474e-17
146,0.9742429359e-18,0.212113441e-17
147,0.1752254891e-17,0.3873389301e-17
148,0.3113151629e-17,0.698654093e-17
149,0.5465616185e-17,0.1245215712e-16
150,0.9485701379e-17,0.2193785849e-16
151,0.1627945951e-16,0.38217318e-16
152,0.276371372e-16,0.6585445521e-16
153,0.4642639249e-16,0.1122808477e-15
154,0.7719447278e-16,0.1894753205e-15
155,0.1270814175e-15,0.316556738e-15
156,0.2071918152e-15,0.5237485532e-15
157,0.3346363894e-15,0.8583849426e-15
158,0.5355432539e-15,0.1393928196e-14
159,0.8494606298e-15,0.2243388826e-14
160,0.1335739298e-14,0.3579128124e-14
161,0.2082708404e-14,0.5661836528e-14
162,0.3220760762e-14,0.888259729e-14
163,0.494086661e-14,0.138234639e-13
164,0.7520567042e-14,0.2134403094e-13
165,0.1136019602e-13,0.3270422697e-13
166,0.1703298782e-13,0.4973721479e-13
167,0.253538992e-13,0.7509111398e-13
168,0.3747347931e-13,0.1125645933e-12
169,0.5500503453e-13,0.1675696278e-12
170,0.8019575582e-13,0.2477653836e-12
171,0.116155516e-12,0.3639208997e-12
172,0.1671608362e-12,0.5310817359e-12
173,0.2390562188e-12,0.7701379546e-12
174,0.3397808331e-12,0.1109918788e-11
175,0.480055616e-12,0.1589974404e-11
176,0.6742744628e-12,0.2264248867e-11
177,0.9416535844e-12,0.3205902451e-11
178,0.1307705609e-11,0.451360806e-11
179,0.1806119926e-11,0.6319727986e-11
180,0.2481148505e-11,0.8800876491e-11
181,0.3390617304e-11,0.121914938e-10
182,0.4609707977e-11,0.1680120177e-10
183,0.6235683183e-11,0.2303688495e-10
184,0.8393762086e-11,0.3143064704e-10
185,0.1124439097e-10,0.4267503801e-10
186,0.1499219796e-10,0.5766723598e-10
187,0.1989697105e-10,0.7756420703e-10
188,0.2628705576e-10,0.1038512628e-9
189,0.3457563327e-10,0.138426896e-9
190,0.4528041199e-10,0.183707308e-9
191,0.5904734677e-10,0.2427546548e-9
192,0.7667908943e-10,0.3194337442e-9
193,0.9916897402e-10,0.4186027183e-9
194,0.1277414489e-9,0.5463441671e-9
195,0.1638999872e-9,0.7102441544e-9
196,0.2094836381e-9,0.9197277925e-9
197,0.2667335183e-9,0.1186461311e-8
198,0.3383706991e-9,0.152483201e-8
199,0.4276871e-9,0.195251911e-8
200,0.5386511754e-9,0.2491170285e-8
201,0.6760303586e-9,0.3167200644e-8
202,0.8455324198e-9,0.4012733064e-8
203,0.1053968089e-8,0.5066701153e-8
